time,open,high,low,close,tick_volume,spread,real_volume,rsi,ema20,ema50,ema200,slope,signal
2025-04-10 22:00:00,120222.4,121911.95,120182.41,120962.82,1799,3478,0,43.76435696750194,121600.61261420348,122562.13727336608,119962.8643143696,705.5900000000111,0
2025-06-13 19:00:00,101073.81,101463.46,99807.73,99937.95,1800,3232,0,27.78185235616438,104145.301333994,104821.6495424633,103605.06794682864,-1136.0899999999965,1
2025-01-06 15:00:00,102115.43,103208.16,102017.22,102422.2,1800,2682,0,52.47602891880368,101885.22701839072,102087.4299222116,100376.09075491742,347.09999999999127,0
2025-06-24 01:00:00,109849.56,110277.1,109329.93,109416.08,1800,3098,0,44.85719032261141,110262.3193981644,110201.57476539514,108194.94551584778,-416.7700000000041,0
2025-07-10 01:00:00,105916.42,107018.1,105499.57,105963.67,1800,3081,0,75.42942361559177,102334.27074124392,100812.94252809584,101067.1862467588,63.06999999999243,1
2025-07-19 13:00:00,98584.33,98666.44,96513.34,96887.85,1800,3410,0,27.949958308106247,100857.35544679996,102134.30606586538,102370.22553959604,-1740.62999999999,1
2025-04-13 21:00:00,125928.19,127960.77,125912.36,127312.29,1800,3478,0,74.04180355051352,122080.137894584,120982.48555090724,120220.7272347862,1366.9899999999907,0
2025-07-15 03:00:00,100230.21,100776.77,99532.8,100761.3,1799,3126,0,46.34863127039281,100939.08733220324,102065.5965385386,103029.41240448153,529.4199999999983,1
2025-04-25 19:00:00,131398.85,131465.94,130243.3,131214.66,1799,4009,0,67.31349577202622,127553.50564885432,128497.20692252788,130344.5735148327,-186.32000000000696,0
2025-04-30 22:00:00,116828.34,118108.37,116515.62,118065.05,1800,3680,0,45.8908839885461,118718.87122168356,119719.1977126717,123840.30250595509,1215.0899999999965,0
2025-05-24 07:00:00,96364.7,96708.76,95678.15,96015.08,1800,2784,0,53.75761607568264,95091.74569194551,96385.34995783617,98879.45199047906,-340.5899999999965,1
2025-06-10 04:00:00,107482.66,108090.09,105461.69,105504.89,1800,3232,0,54.52378597460104,104734.98120718954,103529.3442696666,102050.82802017764,-1991.050000000003,0
2025-03-21 16:00:00,92769.0,93120.28,91975.49,92212.89,1800,2631,0,38.64733289882533,93579.1575820892,94279.79591601428,93505.92778530302,-536.5500000000029,0
2025-05-08 18:00:00,107216.43,107365.55,105894.42,105987.1,1800,3560,0,32.46222665008956,108860.30013208187,109922.39854470156,114012.64591432712,-1261.2899999999936,0
